feature,importance
Age,0.11901128158895893
work_interfere,0.10889021465482322
family_history,0.10252680237340275
no_employees,0.0641800895844909
care_options,0.06246013128193556
leave,0.06245407217915949
benefits,0.044182439236770836
coworkers,0.03948802852844088
phys_health_interview,0.03780464621370609
mental_health_consequence,0.037772563336996086
supervisor,0.0355889788549513
mental_vs_physical,0.03463453088522379
seek_help,0.032297877655086626
wellness_program,0.027383380599476096
anonymity,0.02701523618365529
phys_health_consequence,0.025502136326753803
remote_work,0.025398611492182952
mental_health_interview,0.022009098959251364
Gender_Female,0.019715110647814088
obs_consequence,0.019036406547030496
tech_company,0.017587615892718414
Gender_Male,0.016687264468716982
self_employed,0.014580504155356375
Gender_Other,0.0037929783530976503
